id,Name,Phone,Link,Address,Pincode,Latitude,Longitude,Type,Visited,Blacklisted
47685,Daadys Dollar Town, Private Data,https://housing.com/in/buy/projects/page/68014-daadys-dollar-town-by-daadys-builders-in-bommasandra, Private Data,,12.80120087,77.69602966,Housing Society,0,0
47645,Sri Sri Amruta Varshini, Private Data,https://housing.com/in/buy/projects/page/36525-sri-sri-amruta-varshini-by-sri-sri-construction-in-bommasandra, Private Data,,12.801631,77.702341,Housing Society,0,0
48099,Terracon Terracon Grande, Private Data,https://housing.com/in/buy/projects/page/219046-terracon-terracon-grande-by-terracon-projects-pvy-ltd-in-chandapura, Private Data,,12.80175781,77.71445465,Housing Society,0,0
47683,Lakeview Golden Nest, Private Data,https://housing.com/in/buy/projects/page/27258-lakeview-golden-nest-by-reputed-builder-in-chandapura, Private Data,,12.80175781,77.71470642,Housing Society,0,0
48091,Balaji Complex, Private Data,https://housing.com/in/buy/projects/page/167198-balaji-complex-by-reputed-builder-in-chandapura, Private Data,,12.801848,77.705283,Housing Society,0,0
47703,Anish Triangle Garden City, Private Data,https://housing.com/in/buy/projects/page/58645-anish-triangle-garden-city-by-anish-projects-builders-in-bommasandra, Private Data,,12.80185699,77.70407867,Housing Society,0,0
47613,MVS Orchid, Private Data,https://housing.com/in/buy/projects/page/32152-mvs-orchid-by-mvs-builders-in-bommasandra, Private Data,,12.80187607,77.70455933,Housing Society,0,0
47687,Icon Iconest 3, Private Data,https://housing.com/in/buy/projects/page/128284-icon-iconest-3-by-icon-homz-in-bommasandra, Private Data,,12.80196667,77.67934418,Housing Society,0,0
47599,2 BHK Apartment, Private Data,https://housing.com/in/buy/resale/page/4859804-2-bhk-apartment-in-bommasandra-for-rs-3250000, Private Data,,12.801967,77.679344,Housing Society,0,0
48096,Aston Bell Spring, Private Data,https://housing.com/in/buy/projects/page/217976-aston-bell-spring-by-dasha-in-chandapura, Private Data,,12.80204105,77.71260071,Housing Society,0,0
48100,Phoenix Satkeerti Symphony, Private Data,https://housing.com/in/buy/projects/page/217752-phoenix-satkeerti-symphony-by-phoenix-infrastructure-in-chandapura, Private Data,,12.80208969,77.71515656,Housing Society,0,0
48074,2 BHK Independent House, Private Data,https://housing.com/in/buy/resale/page/3908198-2-bhk-independent-house-in-chandapura-for-rs-5800000, Private Data,,12.802129,77.715026,Housing Society,0,0
48095,Subbamma, Private Data,https://housing.com/in/buy/projects/page/167185-subbamma-by-reputed-builder-in-chandapura, Private Data,,12.80223,77.711336,Housing Society,0,0
47606,Magnum Elegancy, Private Data,https://housing.com/in/buy/projects/page/220877-magnum-elegancy-by-magnum-developers-in-bommasandra, Private Data,,12.80251598,77.68947601,Housing Society,0,0
47649,Vintage Flora, Private Data,https://housing.com/in/buy/projects/page/205906-vintage-flora-by-vintage-shelters-in-bommasandra, Private Data,,12.80255985,77.70440674,Housing Society,0,0
47623,Neesarga Keerthana, Private Data,https://housing.com/in/buy/projects/page/151373-neesarga-keerthana-by-reputed-builder-in-bommasandra, Private Data,,12.802688,77.700741,Housing Society,0,0
47617,Nisarga Gateway, Private Data,https://housing.com/in/buy/projects/page/167174-nisarga-gateway-by-reputed-builder-in-bommasandra, Private Data,,12.802692,77.701175,Housing Society,0,0
48086,Vaibhava Vasantha, Private Data,https://housing.com/in/buy/projects/page/67940-vaibhava-vasantha-by-swaraj-homes-builders-developer-in-chandapura, Private Data,,12.80285263,77.71588898,Housing Society,0,0
47659,Ashraya Sri Sai Nagara, Private Data,https://housing.com/in/buy/projects/page/249825-ashraya-sri-sai-nagara-by-ashraya-group-bangalore-in-bommasandra, Private Data,,12.80298996,77.68492889,Housing Society,0,0
48090,VDB BR Valley Park, Private Data,https://housing.com/in/buy/projects/page/248270-vdb-br-valley-park-by-vdb-infra-realty-pvt-ltd-in-chandapura, Private Data,,12.80308342,77.71564484,Housing Society,0,0
48078,Aashrithaa Sai Priya Residency, Private Data,https://housing.com/in/buy/projects/page/248259-aashrithaa-sai-priya-residency-by-aashritha-properties-pvt-ltd-in-chandapura, Private Data,,12.80335617,77.717453,Housing Society,0,0
45883,Avhni Abode Gomati Iris, Private Data,https://housing.com/in/buy/projects/page/41541-avhni-abode-gomati-iris-by-avhni-abode-in-electronic-city, Private Data,,12.803357,77.671442,Housing Society,0,0
47616,2 BHK Independent House, Private Data,https://housing.com/in/buy/resale/page/4055480-2-bhk-independent-house-in-bommasandra-for-rs-3500000, Private Data,,12.803417,77.671527,Housing Society,0,0
47682,2 BHK Independent House, Private Data,https://housing.com/in/buy/resale/page/2513524-2-bhk-independent-house-in-bommasandra-for-rs-2300000, Private Data,,12.803609,77.666491,Housing Society,0,0
47667,Shabari SS South Crest, Private Data,https://housing.com/in/buy/projects/page/23609-shabari-ss-south-crest-by-shri-shabari-infrastructures-in-bommasandra, Private Data,,12.80366421,77.6657486,Housing Society,0,0
48111,Prabhavathi Royal City, Private Data,https://housing.com/in/buy/projects/page/90813-prabhavathi-royal-city-by-prabhavathi-builders-developers-pvt-ltd-in-chandapura, Private Data,,12.80391312,77.71518707,Housing Society,0,0
47674,Kataria Residency, Private Data,https://housing.com/in/buy/projects/page/5317-kataria-residency-by-kataria-builteck-pvt-ltd-in-bommasandra, Private Data,,12.804291,77.674728,Housing Society,0,0
47664,K B Paradise, Private Data,https://housing.com/in/buy/projects/page/155149-k-b-paradise-by-reputed-builder-in-bommasandra, Private Data,,12.804342,77.674745,Housing Society,0,0
47688,Kataria Paradise, Private Data,https://housing.com/in/buy/projects/page/6541-kataria-paradise-by-kataria-builteck-pvt-ltd-in-yarandahalli, Private Data,,12.804345,77.6747,Housing Society,0,0
45673,Sriven Rag Meridian, Private Data,https://housing.com/in/buy/projects/page/127604-sriven-rag-meridian-by-sriven-properties-in-electronic-city, Private Data,,12.80485,77.685654,Housing Society,0,0
45565,Siri Sbm Residency, Private Data,https://housing.com/in/buy/projects/page/41814-siri-sbm-residency-by-siri-homes-in-electronic-city, Private Data,,12.804907,77.697449,Housing Society,0,0
48097,S2 Homes Mystic Woods, Private Data,https://housing.com/in/buy/projects/page/44435-s2-homes-mystic-woods-by-s2-homes-in-chandapura, Private Data,,12.805051,77.715584,Housing Society,0,0
47614,RK Atulya, Private Data,https://housing.com/in/buy/projects/page/220558-rk-atulya-by-rk-developers-in-bommasandra, Private Data,,12.80516338,77.67201233,Housing Society,0,0
47670,Atulya Apartment, Private Data,https://housing.com/in/buy/projects/page/154100-atulya-apartment-by-reputed-builder-in-bommasandra, Private Data,,12.805189,77.67204,Housing Society,0,0
15742,Vasavi Provision Stores, Private Data,, Private Data,,12.8052456,77.5787804,Grocery,0,0
47663,TCH Studio Suites 9, Private Data,https://housing.com/in/buy/projects/page/39647-tch-studio-suites-9-by-tch-in-bommasandra, Private Data,,12.805249,77.677115,Housing Society,0,0
10567,Beauty Parlour, Private Data,, Private Data,,12.8055714,77.6047649,Salon,0,0
47595,3 BHK Apartment, Private Data,https://housing.com/in/buy/resale/page/2042229-3-bhk-apartment-in-bommasandra-for-rs-5000000, Private Data,,12.805637,77.662074,Housing Society,0,0
47684,Comfort Residency, Private Data,https://housing.com/in/buy/projects/page/183737-comfort-residency-by-elite-properties-in-bommasandra, Private Data,,12.80567,77.673445,Housing Society,0,0
47697,9 BHK Independent Floor, Private Data,https://housing.com/in/buy/resale/page/3082723-9-bhk-independent-floor-in-bommasandra-for-rs-18500000, Private Data,,12.805705,77.672226,Housing Society,0,0
47604,Southern Springs Apartments, Private Data,https://housing.com/in/buy/projects/page/132205-southern-springs-apartments-by-reputed-builder-in-bommasandra, Private Data,,12.805762,77.671999,Housing Society,0,0
48109,Hyde Park, Private Data,https://housing.com/in/buy/projects/page/206656-hyde-park-by-excel-dwellings-india-in-chandapura, Private Data,,12.80584621,77.71179962,Housing Society,0,0
47634,2 BHK Apartment, Private Data,https://housing.com/in/buy/resale/page/5073237-2-bhk-apartment-in-bommasandra-for-rs-3250000, Private Data,,12.805861,77.698639,Housing Society,0,0
47689,Sai Suraj, Private Data,https://housing.com/in/buy/projects/page/162960-sai-suraj-by-reputed-builder-in-bommasandra, Private Data,,12.806034,77.671377,Housing Society,0,0
47680,Sri Sai Pruthvi Residency, Private Data,https://housing.com/in/buy/projects/page/160592-sri-sai-pruthvi-residency-by-reputed-builder-in-bommasandra, Private Data,,12.806064,77.672487,Housing Society,0,0
47622,Vijayas Vaibhav, Private Data,https://housing.com/in/buy/projects/page/131264-vijayas-vaibhav-by-reputed-builder-in-bommasandra, Private Data,,12.806148,77.675174,Housing Society,0,0
47696,2 BHK Villa, Private Data,https://housing.com/in/buy/resale/page/4951018-2-bhk-villa-in-bommasandra-for-rs-3925000, Private Data,,12.806445,77.662697,Housing Society,0,0
47678,2 BHK Independent House, Private Data,https://housing.com/in/buy/resale/page/4068414-2-bhk-independent-house-in-bommasandra-for-rs-3500000, Private Data,,12.806564,77.678542,Housing Society,0,0
45857,Keystone Balaji Elite, Private Data,https://housing.com/in/buy/projects/page/35501-keystone-balaji-elite-by-keystone-properties-in-electronic-city, Private Data,,12.806629,77.696579,Housing Society,0,0
47647,Devi Residency, Private Data,https://housing.com/in/buy/projects/page/38236-devi-residency-by-devi-constructions-in-bommasandra, Private Data,,12.806746,77.671469,Housing Society,0,0
47644,Residential Plot, Private Data,https://housing.com/in/buy/resale/page/3899220-residential-plot-in-bommasandra-for-rs-5500000, Private Data,,12.806947,77.672813,Housing Society,0,0
47625,IT Villa Pavilion, Private Data,https://housing.com/in/buy/projects/page/219659-it-villa-pavilion-by-it-estates-in-bommasandra, Private Data,,12.80701828,77.6701889,Housing Society,0,0
45445,Prasiddhi Cloud 9, Private Data,https://housing.com/in/buy/projects/page/4225-prasiddhi-cloud-9-by-prasiddhi-group-in-electronic-city, Private Data,,12.807083,77.687218,Housing Society,0,0
47637,Icon Honey Pool, Private Data,https://housing.com/in/buy/projects/page/219250-icon-honey-pool-by-icon-homz-in-bommasandra, Private Data,,12.80778408,77.67578125,Housing Society,0,0
45381,3 BHK Villa, Private Data,https://housing.com/in/buy/resale/page/3887886-3-bhk-villa-in-bommasandra-for-rs-8700000, Private Data,,12.807942,77.683678,Housing Society,0,0
45503,2 BHK Apartment, Private Data,https://housing.com/in/buy/resale/page/5077519-2-bhk-apartment-in-bommasandra-for-rs-3294892, Private Data,,12.807942,77.683678,Housing Society,0,0
45592,5 BHK Independent House, Private Data,https://housing.com/in/buy/resale/page/4388794-5-bhk-independent-house-in-bommasandra-for-rs-14500000, Private Data,,12.807942,77.683678,Housing Society,0,0
45756,Residential Plot, Private Data,https://housing.com/in/buy/resale/page/4685079-residential-plot-in-bommasandra-for-rs-3720000, Private Data,,12.807942,77.683678,Housing Society,0,0
47660,Gokul Kuteer, Private Data,https://housing.com/in/buy/projects/page/70792-gokul-kuteer-by-swaraj-homes-builders-developer-in-yarandahalli, Private Data,,12.80824375,77.67195892,Housing Society,0,0
47690,Aaradhana Aranya Residency, Private Data,https://housing.com/in/buy/projects/page/3960-aaradhana-aranya-residency-by-aaradhana-buildcon-emprises-in-bommasandra, Private Data,,12.80851555,77.67021942,Housing Society,0,0
30075,Five Star Chicken, Private Data,, Private Data,,12.8087432,77.5899406,Restaurant,0,0
45621,Southern Springs, Private Data,https://housing.com/in/buy/projects/page/222246-southern-springs-by-southern-heritage-in-electronic-city, Private Data,,12.80883,77.683289,Housing Society,0,0
